ID,Show,Network,Category
33001273,Veep,HBO,Comedy
95782934,Game of Thrones,HBO,Drama
58728255,Last Week Tonight with John Oliver,HBO,Variety
55883106,Modern Family,ABC,Comedy
65381627,Breaking Bad,AMC,Drama
47339302,Colbert Report,Comedy Central,Variety
82421777,Homeland,Showtime,Drama
29475859,The Daily Show with Jon Stewart,Comedy Central,Variety
93526065,Mad Men,AMC,Drama
98008966,30 Rock,NBC,Comedy
95946207,The Sopranos,HBO,Drama
75181265,The Office,NBC,Comedy
72940597,24,Fox,Drama
83598882,Everybody Loves Raymond,CBS,Comedy
77861290,Lost,ABC,Drama
11925518,Arrested Development,Fox,Comedy
37043538,Friends,NBC,Comedy
96577254,The West Wing,NBC,Drama
69224890,Sex and the City,HBO,Comedy
16887633,Will and Grace,NBC,Comedy
